<>안의 것은 챕터
()안의 것은 부가설명
시스템은 나레이션
배경은 화면에 나타나는 글씨
장소는 배경이 되는 장소
-00	000000000
-발도나	니가 영웅의 아들이구나.. 아버지와 정말 똑같이 생겼어... 그래... 이눈...
	적어도 이눈은 니가 나쁜짓을 하지 않았다고 말하고 있구나...
	(나와 영웅, 키례프, 브리셸의 노력은 마왕이 되살아 나는 것으로 의미를 잃게 되겠지...
	하지만 너는 아니다.. 네가 이 일을 종결한다면.... 넌 아직 가망이 있어..! )★★
>>	발도나의 말을 듣고 주인공은 자신이 무엇을 해야하는지 깨달았다.★★
>>	심판장, 주인공이 심판을 받고있음
>>	모두 죽이자고 말하고 발도나는 가만히있음.
-주인공	내가 마왕을 죽이겠어...
-참모1	이게 무슨 헛소리야? 그게 말이 된다고 생각하니?
-참모2	좀 더 살아보겠다고 발버둥 치는구나 쓰레기녀석...
-주인공	그 녀석은 나를 속였어... 그 녀석을 죽이지 않는 이상 나는 아버지를 볼 낯이 없어...
-참모1	너는 사형이야 임마.
-발도나	아니, 그는 영웅의 아들이다. 그의 말에 나 발도나의 이름을 걸지.
>>	술렁이는 심판장 아니 저 발도나가?!! 라는 반응이다
-심판관	그렇게까지 말하신다면... 마지막 기회다 꼬마야.. 발도나님도 이일에 대해선 책임져 주셔야겠습니다
-발도나	물론이지
-주인공	..!!!!
-고르졸	칫.. 이런 녀석이 마왕을?? 어이가 없군
	심판관님! 저는 믿을수 없습니다. 사람들도 그렇겠죠. 신뢰를 얻기위해 그가 저와 대결할수 있도록 해주세요!
-심판관	음... 이렇게말합니다만 발도나님?
-발도나	좋소
-심판관	좋습니다 그럼 대결을 통해 주인공이 이길시 풀어주도록 하죠
(플레이)	1:1대결맵으로 이동 주인공이 매우 약함
(플레이)	지는 상황에서
-주인공	크윽... 역시 무리인가...
(플레이)	빛나는 목걸이
(플레이)	마력을 운용할수 있게되었다
-주인공	아니.. 이힘은!!! 어..어머니!!!
(플레이)	마법운용 튜토리얼을 진행한다
(플레이)	고르졸을 이긴다
-고르졸	크윽... 이결투.. 나의 패배를 인정한다.
-주인공	이거라면...!!
>>	풀려나는 주인공
	조금 걷자마자 성문쪽에서 북이 울린다

<챕터5. 스테이지2>
